trade_date,stock_count,total_mv_sum_wanyuan,total_mv_sum_yiyuan,total_mv_sum_wanyiyuan
2015-01-30,2354,4160057904.3126,416005.79043126,41.600579043126004
2015-02-27,2386,4402006155.352401,440200.6155352401,44.02006155352401
2015-03-31,2340,4980224729.3307,498022.47293307,49.802247293307
2015-04-30,2366,5959552151.295,595955.2151295,59.59552151295
2015-05-29,2335,6327777989.0067005,632777.79890067,63.277779890067
2015-06-30,2336,5778912554.278299,577891.2554278299,57.78912554278299
2015-07-31,2277,4912980031.494499,491298.00314944994,49.129800314944994
2015-08-31,2282,4176640825.3007,417664.08253007004,41.766408253007
2015-09-30,2350,4086465986.9247,408646.59869247,40.864659869247
2015-10-30,2386,4726176874.4264,472617.68744264,47.261768744264
2015-11-30,2473,5127303587.5189,512730.35875189,51.273035875189
2015-12-31,2544,5481623347.593599,548162.33475936,54.816233475935995
2016-01-29,2557,4115514653.6422997,411551.46536423,41.155146536423
2016-02-29,2537,3985001647.7563,398500.16477563,39.850016477563
2016-03-31,2535,4632802859.1986,463280.28591986,46.328028591986
2016-04-29,2528,4551047398.4821,455104.73984820995,45.510473984821
2016-05-31,2555,4618099830.7177,461809.98307177,46.180998307177
2016-06-30,2584,4781219150.237801,478121.9150237801,47.812191502378006
2016-07-29,2644,4842034206.222501,484203.42062225007,48.42034206222501
2016-08-31,2685,5144631070.4662,514463.10704662,51.446310704662
2016-09-30,2703,5029178304.439301,502917.83044393006,50.29178304439301
2016-10-31,2751,5261740429.9415,526174.04299415,52.617404299415
2016-11-30,2773,5527884359.9858,552788.43599858,55.278843599858
2016-12-30,2833,5306972481.4208,530697.24814208,53.069724814208
2017-01-26,2892,5438876796.3907,543887.6796390701,54.388767963907
2017-02-28,2896,5635767353.173201,563576.7353173201,56.357673531732004
2017-03-31,2945,5669178461.9019,566917.8461901901,56.691784619019
2017-04-28,2962,5493415017.025499,549341.50170255,54.934150170254995
2017-05-31,2985,5381276372.210401,538127.6372210401,53.81276372210401
2017-06-30,3021,5528517716.285601,552851.77162856,55.28517716285601
2017-07-31,3049,5652698954.4276,565269.89544276,56.526989544276
2017-08-31,3115,5898647298.360001,589864.729836,58.98647298360001
2017-09-29,3181,6040879396.1255,604087.93961255,60.408793961255
2017-10-31,3214,6163510535.6764,616351.05356764,61.635105356764
2017-11-30,3233,6011442722.9723,601144.27229723,60.114427229723
2017-12-29,3250,6057702176.7122,605770.2176712201,60.577021767122
2018-01-31,3262,6301832071.426399,630183.2071426399,63.01832071426399
2018-02-28,3226,5956508068.841999,595650.8068842,59.56508068841999
2018-03-30,3248,5918547810.6189,591854.7810618901,59.185478106189
2018-04-27,3271,5752181129.7603,575218.11297603,57.521811297602994
2018-05-31,3301,5752222474.3359,575222.24743359,57.522224743359004
2018-06-29,3324,5332140975.8595,533214.09758595,53.321409758594996
2018-07-31,3395,5433198121.6536,543319.81216536,54.331981216536
2018-08-31,3439,5179154890.7003,517915.48907003005,51.791548907003005
2018-09-28,3469,5302031964.1934,530203.1964193401,53.020319641934
2018-10-31,3480,4918307307.0463,491830.73070462997,49.183073070463
2018-11-30,3537,5049684948.4103,504968.49484103004,50.496849484103
2018-12-28,3550,4834392839.693001,483439.2839693001,48.34392839693001
2019-01-31,3568,5041955289.3505,504195.52893505,50.419552893505
2019-02-28,3570,5836157289.7159,583615.72897159,58.36157289715901
2019-03-29,3566,6212209183.800699,621220.9183800699,62.122091838006995
2019-04-30,3553,6159179316.7501,615917.93167501,61.591793167501
2019-05-31,3600,5811036688.4034,581103.66884034,58.11036688403401
2019-06-28,3613,5985261525.266999,598526.1525266999,59.85261525266999
2019-07-31,3647,6019409625.6688,601940.96256688,60.194096256688006
2019-08-30,3661,5993519106.6723,599351.91066723,59.935191066723
2019-09-30,3671,6053142924.9257,605314.29249257,60.531429249257
2019-10-31,3683,6137742493.456301,613774.24934563,61.37742493456301
2019-11-29,3714,6069502101.6105995,606950.21016106,60.695021016106
2019-12-31,3741,6568066142.577801,656806.61425778,65.68066142577801
2020-01-23,3760,6590057999.4541,659005.79994541,65.90057999454099
2020-02-28,3783,6551656865.8029,655165.6865802901,65.516568658029
2020-03-31,3789,6182644461.4043,618264.4461404299,61.826444614043
2020-04-30,3771,6494062035.8054,649406.20358054,64.940620358054
2020-05-29,3813,6547444680.928101,654744.46809281,65.474446809281
2020-06-30,3835,7039521703.1515,703952.1703151499,70.395217031515
2020-07-31,3894,8007803127.095301,800780.3127095301,80.078031270953
2020-08-31,3950,8244477258.3839,824447.72583839,82.444772583839
2020-09-30,4015,7827947779.7027,782794.77797027,78.279477797027
2020-10-30,4044,8011943663.7205,801194.36637205,80.119436637205
2020-11-30,4067,8419608827.566899,841960.8827566899,84.196088275669
2020-12-31,4117,8673335230.487701,867333.5230487701,86.73335230487702
2021-01-29,4150,8718245616.033798,871824.5616033798,87.18245616033798
2021-02-26,4177,8736492230.669,873649.2230669,87.36492230669
2021-03-31,4215,8542750903.108801,854275.0903108801,85.42750903108801
2021-04-30,4239,8721819652.944399,872181.9652944399,87.21819652944399
2021-05-31,4311,9243325037.546799,924332.5037546799,92.43325037546799
2021-06-30,4358,9349839002.0583,934983.90020583,93.498390020583
2021-07-30,4406,8967343979.4503,896734.39794503,89.673439794503
2021-08-31,4449,9369401281.8335,936940.12818335,93.694012818335
2021-09-30,4480,9364407470.779,936440.7470779,93.64407470779
2021-10-29,4520,9382590230.2371,938259.02302371,93.825902302371
2021-11-30,4550,9599810579.6359,959981.05796359,95.998105796359
2021-12-31,4591,9871972504.6269,987197.25046269,98.71972504626899
2022-01-28,4624,9201834809.8314,920183.48098314,92.018348098314
2022-02-28,4640,9478194605.0234,947819.46050234,94.781946050234
2022-03-31,4669,8881897847.255299,888189.7847255298,88.81897847255298
2022-04-29,4679,8250805677.226601,825080.56772266,82.508056772266
2022-05-31,4687,8696283438.844799,869628.34388448,86.96283438844799
2022-06-30,4707,9386382852.153801,938638.2852153801,93.86382852153801
2022-07-29,4733,9101993600.537498,910199.3600537499,91.01993600537499
2022-08-31,4785,8982713271.991,898271.3271990999,89.82713271991
2022-09-30,4822,8443129480.961599,844312.94809616,84.43129480961599
2022-10-31,4845,8216865354.7542,821686.53547542,82.168653547542
2022-11-30,4876,8906311432.649101,890631.1432649101,89.06311432649102
2022-12-30,4898,8747166483.482899,874716.6483482899,87.47166483482899
2023-01-31,4899,9341660502.6302,934166.05026302,93.416605026302
2023-02-28,4917,9414784325.4626,941478.4325462601,94.14784325462601
2023-03-31,4942,9444798661.7911,944479.8661791099,94.447986617911
2023-04-28,4939,9533833851.7106,953383.38517106,95.338338517106
2023-05-31,4965,9249895465.5538,924989.5465553801,92.498954655538
2023-06-30,5000,9306361917.4263,930636.19174263,93.063619174263
2023-07-31,5022,9520711923.822401,952071.1923822401,95.20711923822401
2023-08-31,5048,9092918036.5428,909291.8036542801,90.92918036542801
2023-09-28,5059,9028633509.0191,902863.35090191,90.286335090191
2023-10-31,5071,8813491352.4146,881349.13524146,88.134913524146
2023-11-30,5080,8843072971.7775,884307.29717775,88.430729717775
2023-12-29,5089,8717831795.8092,871783.17958092,87.17831795809201
2024-01-31,5100,7951565811.0963,795156.5811096301,79.515658110963
2024-02-29,5102,8629326668.4948,862932.66684948,86.29326668494801
2024-03-29,5108,8768867587.2868,876886.7587286801,87.688675872868
2024-04-30,5052,8883604314.281801,888360.4314281801,88.83604314281801
2024-05-31,5091,8810034312.768799,881003.4312768799,88.10034312768799
2024-06-28,5088,8463610113.6603,846361.01136603,84.636101136603
2024-07-31,5084,8367952076.8022,836795.20768022,83.679520768022
2024-08-30,5087,8104126424.4527,810412.64244527,81.041264244527
2024-09-30,5091,9630960963.2966,963096.09632966,96.309609632966
2024-10-31,5092,9629992572.3591,962999.25723591,96.299925723591
2024-11-29,5105,9779134352.6853,977913.43526853,97.79134352685301
2024-12-31,5107,9817734489.6399,981773.44896399,98.177344896399
2025-01-27,5118,9569461725.5277,956946.17255277,95.69461725527701
2025-02-28,5118,9840523149.3742,984052.3149374201,98.40523149374201
2025-03-31,5127,9883777172.673399,988377.7172673399,98.83777172673399
2025-04-30,5096,9641053243.476799,964105.3243476799,96.41053243476799
2025-05-30,5118,9827398114.8502,982739.8114850201,98.273981148502
2025-06-30,5137,10358847890.882,1035884.7890882,103.58847890882
2025-07-31,5139,10690813296.839699,1069081.32968397,106.90813296839698
2025-08-29,5140,11612224923.028,1161222.4923028,116.12224923028
2025-09-30,5146,11823798150.9468,1182379.81509468,118.237981509468
2025-10-31,5152,11999550635.044998,1199955.0635044998,119.99550635044999
2025-11-28,5148,11801626607.582,1180162.6607582,118.01626607582001
2025-12-31,5170,12159181754.499401,1215918.1754499401,121.59181754499402
2026-01-30,5170,12743154881.310501,1274315.48813105,127.43154881310501
2026-02-27,5175,12950220943.195,1295022.0943195,129.50220943195
2026-03-31,5178,12170761944.9468,1217076.19449468,121.707619449468
2026-04-30,5150,13052225497.2126,1305222.54972126,130.522254972126
2026-05-15,5183,13275228038.9385,1327522.80389385,132.752280389385
